CONRAD_DICT,INFINITY_DICT
product_name,product_name
code,part_number
price,price
prod_type,
manufacturer,manufacturer
manuf_abbrev,
housing,package
clock_rate,clock_rate
series,
core_size_bit,core_size_bit
core_processor,core_processor
oscillator_type,oscillator_type
periphery_devices,peripherals
number_ios,number_ios
program_memory_type,program_memory_type
voltage_max,voltage_max
voltage_min,voltage_min
operating_temp_max,operating_temp_max
operating_temp_min,operating_temp_min
data_converter,data_converters
eeprom,eeprom_size
connectivity,connectivity
program_memory_size_kb,program_memory_size_kb
ram_size,ram_size
,description
,lead_free_rohs
,quantity_available
,data_sheet
,supplier_device_package
,series
,packaging
,moisture_sensitivity_level
,detailed_description